Namn,Kon
antonova,F
antra,F
anu,F
anudari,F
anuja,F
anujin,F
anum,F
anupama,F
anuradha,F
anush,F
anusha,F
anushka,F
anuta,F
anvarovna,F
anvi,F
anvor,F
anwen,F
anxhela,F
any,F
anya,F
anyango,F
anyarat,F
anzal,F
anzela,F
anzelika,F
anzhela,F
anzhelika,F
aoi,F
aoife,F
aparecida,F
aparna,F
aphinya,F
aphrodite,F
apinya,F
apollonia,F
apolonia,F
apostolia,F
apple,F
appolonia,F
april,F
aprilia,F
aqila,F
aqsa,F
aquelina,F
aquilina,F
aqvelina,F
aqvilina,F
arabela,F
arabella,F
arabo,F
araceli,F
aracelly,F
aracely,F
arachchige,F
aradhana,F
arafa,F
arafo,F
aragsan,F
aramia,F
aranka,F
arantxa,F
aranya,F
aranzazu,F
araya,F
arazo,F
arazoo,F
arba,F
arbana,F
arbenita,F
arberesha,F
arbesa,F
arbnora,F
arbnore,F
arbresha,F
archana,F
ardiana,F
ardijana,F
ardis,F
ardita,F
ardo,F
aree,F
areeba,F
areej,F
areen,F
areerat,F
areeya,F
arefa,F
arefe,F
arefeh,F
arej,F
areli,F
arely,F
aretha,F
areti,F
arevik,F
arezo,F
arezoo,F
arezou,F
arezu,F
arfa,F
argentina,F
arghavan,F
argiro,F
argyro,F
ariadna,F
ariadne,F
ariadni,F
ariam,F
ariana,F
ariane,F
arianna,F
arianne,F
ariba,F
ariela,F
ariele,F
ariella,F
arielle,F
arieta,F
arifa,F
arife,F
arig,F
arij,F
arija,F
arijana,F
arijeta,F
arin,F
arina,F
ariola,F
ariona,F
arisa,F
arisara,F
arisha,F
aristea,F
arita,F
ariunaa,F
ariunjargal,F
arivan,F
ariya,F
arizona,F
arja,F
arja-leena,F
arja-liisa,F
arjana,F
arjeta,F
arjin,F
arkadievna,F
arla,F
ärla,F
arlen,F
arlene,F
arléne,F
arleta,F
arletta,F
arlette,F
arlinda,F
arline,F
arlyn,F
armaghan,F
armana,F
armanda,F
armela,F
armelle,F
armenuhi,F
armi,F
armida,F
armiida,F
armika,F
armilda,F
armilde,F
armina,F
arminda,F
armine,F
armita,F
arna,F
ärna,F
arnedotter,F
arnela,F
arnesa,F
arnesdotter,F
arnevi,F
arnhild,F
arnika,F
arnisa,F
arnolda,F
arnoldsdotter,F
arny,F
aroa,F
arona,F
arooj,F
arpine,F
arpita,F
arporn,F
arsema,F
arsiema,F
arta,F
ärtan,F
artemis,F
artemisia,F
artina,F
artiola,F
aruna,F
arune,F
arunee,F
arunrat,F
arven,F
arvida,F
arvidsdotter,F
arwa,F
arwen,F
arya,F
aryam,F
aryana,F
arzi,F
arzija,F
arzije,F
arzo,F
arzoo,F
arzu,F
asa,F
åsa,F
åsa maria,F
åsa-britt,F
åsa-karin,F
asako,F
asal,F
åsa-lena,F
åsalill,F
åsa-lill,F
åsa-mari,F
åsa-maria,F
åsa-marie,F
asawer,F
asbjörg,F
asdis,F
åse,F
åse-britt,F
aseel,F
asefash,F
asel,F
åse-lill,F
åse-marie,F
asena,F
asenat,F
asenova,F
aset,F
asfha,F
asha,F
ashanti,F
ashebr,F
åshild,F
ashleigh,F
ashley,F
ashna,F
asho,F
ashorina,F
ashtar,F
ashti,F
ashurina,F
ashwag,F
ashwak,F
ashwaq,F
ashwini,F
asi,F
asia,F
asiat,F
asieh,F
asifa,F
asija,F
asil,F
asila,F
asima,F
asimina,F
asina,F
asinat,F
asiya,F
asiyah,F
asiye,F
asiyo,F
asja,F
aska,F
askale,F
askalu,F
askandar,F
aslaug,F
asli,F
aslihan,F
aslim,F
aslög,F
åslög,F
asma,F
asmaa,F
asmae,F
asmahan,F
asmait,F
asmar,F
asmara,F
asmayt,F
asmeret,F
asmin,F
asmina,F
asmira,F
asmita,F
asmo,F
asora,F
aspasia,F
asra,F
asraa,F
asrar,F
asrin,F
assa,F
assal,F
assarina,F
assel,F
assi,F
assia,F
assil,F
assma,F
assmaa,F
assunta,F
assyria,F
asta,F
ásta,F
åsta,F
aster,F
astera,F
astghik,F
astha,F
asti,F
astier,F
astou,F
astra,F
astrea,F
astréa,F
astri,F
astrid,F
astrida,F
asude,F
asuman,F
asuncion,F
aswan,F
asya,F
ataa,F
atalia,F
atanasova,F
atchara,F
atea,F
atefa,F
atefe,F
atefeh,F
ateka,F
atena,F
athanasia,F
athanassia,F
athar,F
athea,F
athena,F
athéna,F
athene,F
athicha,F
athina,F
athittaya,F
athmar,F
athra,F
athraa,F
atia,F
atidze,F
atie,F
atieh,F
atieno,F
atifa,F
atifete,F
atika,F
atina,F
atiya,F
atiyah,F
atiye,F
atlanta,F
atoosa,F
ator,F
atosa,F
atousa,F
atra,F
atrina,F
atrisa,F
atsede,F
atsuko,F
atti,F
attiya,F
atusa,F
atyaf,F
aubrey,F
aud,F
aude,F
audhild,F
audra,F
audrey,F
audrina,F
audrone,F
audur,F
augusta,F
auguste,F
augustina,F
aukse,F
auli,F
aulikki,F
aulona,F
auma,F
aune,F
auni,F
aura,F
aurea,F
aurela,F
aurelia,F
aurélia,F
aurelie,F
aurélie,F
aurelija,F
auri,F
aurica,F
auror,F
aurora,F
aurore,F
ausma,F
ausra,F
ausrine,F
austeja,F
austra,F
autumn,F
auxiliadora,F
ava,F
äva,F
avalon,F
avan,F
avani,F
avantika,F
ave,F
aveen,F
avelina,F
aveline,F
aven,F
avery,F
avesta,F
aviaja,F
avid,F
avigail,F
avin,F
avina,F
avital,F
aviva,F
avril,F
avrin,F
awa,F
äwa,F
awan,F
awatef,F
awatif,F
awaz,F
awin,F
awino,F
awo,F
awring,F
awuor,F
axa,F
axelia,F
axelina,F
axeline,F
axelle,F
axelsdotter,F
axi,F
axia,F
axianne,F
axie,F
axina,F
ay,F
aya,F
ayaa,F
ayaan,F
ayaat,F
ayah,F
ayako,F
ayan,F
ayana,F
ayanda,F
ayanna,F
ayantu,F
ayat,F
ayca,F
aycan,F
aycha,F
ayche,F
aycheh,F
ayda,F
aydan,F
aye,F
ayeda,F
ayeh,F
ayelen,F
ayelén,F
ayesha,F
ayesheh,F
ayfer,F
aygül,F
aygun,F
ayia,F
ayisha,F
ayla,F
aylar,F
ayleen,F
aylen,F
aylin,F
aylina,F
ayline,F
aylinn,F
aymara,F
ayna,F
aynalem,F
aynaz,F
ayni,F
aynur,F
ayomide,F
ayoush,F
ayra,F
aysa,F
aysan,F
ayse,F
aysegul,F
aysegül,F
aysel,F
aysen,F
aysenur,F
ayser,F
aysha,F
ayshat,F
ayshe,F
aysheh,F
aysu,F
aysun,F
aytan,F
ayten,F
ayu,F
ayumi,F
aza,F
åza,F
azade,F
azadeh,F
azal,F
azalea,F
azaleah,F
azam,F
azamit,F
azar,F
azardokht,F
azarmidokht,F
azeb,F
azeez,F
azema,F
azemina,F
azemine,F
azhar,F
azhin,F
azieb,F
azima,F
azime,F
azin,F
azira,F
azita,F
aziza,F
azizah,F
azize,F
azizeh,F
azjargal,F
azmera,F
aznif,F
azora,F
azra,F
azraa,F
azucena,F
azza,F
azzah,F
azzo,F
baan,F
babett,F
babette,F
babs,F
baby,F
babylonia,F
bach,F
bachira,F
back,F
bäck,F
bäcke,F
badema,F
badia,F
badiaa,F
badra,F
badria,F
badrie,F
badrieh,F
badriya,F
bafraw,F
bafrin,F
bahar,F
bahara,F
baharak,F
bahare,F
bahareh,F
bahati,F
bahia,F
bahie,F
bahija,F
bahira,F
bahiya,F
bahja,F
bahjo,F
bahra,F
bahrie,F
bahrija,F
bahrije,F
bahriye,F
bahsan,F
bahtije,F
baian,F
baiba,F
baidaa,F
bailasan,F
baisa,F
bajer,F
bajramsa,F
bak,F
bakhan,F
bakht,F
bakhtawar,F
bala,F
balbina,F
balkis,F
balqees,F
balqis,F
balqisa,F
balsam,F
baltzer,F
bambi,F
ban,F
bana,F
banafsheh,F
banan,F
banaz,F
baneen,F
bangon,F
bang-on,F
bani,F
banin,F
banna,F
bano,F
banoo,F
banou,F
banu,F
banyameen,F
banyen,F
bara,F
bára,F
baraah,F
barbara,F
bárbara,F
bärbel,F
barbie,F
barbora,F
barbra,F
barbro,F
barez,F
barfin,F
barica,F
barin,F
barkholt,F
barlin,F
barni,F
barno,F
barwaqo,F
barween,F
basak,F
basant,F
basema,F
basemah,F
bashaer,F
bashira,F
basilia,F
basiliki,F
basima,F
basira,F
basma,F
basmah,F
basmala,F
basna,F
basoz,F
basra,F
basro,F
bassima,F
bassma,F
batol,F
batool,F
batoul,F
batseba,F
battsetseg,F
batul,F
batula,F
batulo,F
bay,F
baya,F
bayan,F
bayarmaa,F
bayda,F
baydaa,F
baylasan,F
bdour,F
be,F
bea,F
beata,F
beáta,F
beate,F
beatha,F
beathe,F
beathrice,F
beatric,F
beatrice,F
beatricé,F
béatrice,F
beatris,F
beatrise,F
beatrix,F
beatriz,F
beatrize,F
beauty,F
beba,F
bebe,F
becca,F
becky,F
beda,F
bedia,F
bedrija,F
bedrije,F
bedriye,F
bee,F
beena,F
beenish,F
beesan,F
befrin,F
begajeta,F
begard,F
begona,F
begoña,F
begum,F
begüm,F
begzada,F
behara,F
behare,F
beheshta,F
behice,F
behija,F
behije,F
behiye,F
behjat,F
behnaz,F
behnoush,F
bei,F
beigom,F
beilul,F
beisa,F
bejan,F
bejza,F
bekhal,F
bekhit,F
bel,F
belainesh,F
belan,F
belaynesh,F
belen,F
belén,F
belgica,F
belgin,F
belin,F
belina,F
belinay,F
belinda,F
belisa,F
belise,F
beliz,F
belize,F
belkis,F
belkisa,F
belkiz,F
belkize,F
bell,F
bella,F
bellatrix,F
belle,F
bellis,F
belma,F
belmina,F
belqis,F
belul,F
belyse,F
benafsha,F
benan,F
benar,F
benaz,F
benazir,F
benchamat,F
benchawan,F
bendigt,F
bendikt,F
bendy,F
benedetta,F
benedicta,F
benedicte,F
bénédicte,F
benedikta,F
benedikte,F
benedita,F
benette,F
bengta,F
bengtsdotter,F
benice,F
benin,F
benita,F
benitha,F
benjamas,F
benjaporn,F
benjawan,F
bennysdotter,F
bensy,F
benta,F
bente,F
benthe,F
benyapa,F
bera,F
bercin,F
beren,F
berendina,F
berenice,F
berenike,F
beret,F
berete,F
berevan,F
berfin,F
bergitte,F
berglind,F
bergliot,F
berglioth,F
bergljot,F
beri,F
beria,F
beril,F
berin,F
berina,F
beris,F
berit,F
berita,F
beritan,F
berith,F
berivan,F
beriwan,F
berlin,F
berlinda,F
berly,F
berna,F
bernadet,F
bernadeta,F
bernadeth,F
bernadett,F
bernadetta,F
bernadette,F
bernadina,F
bernadine,F
bernadotte,F
bernarda,F
bernardina,F
bernardita,F
berndtsdotter,F
bernera,F
bernhardina,F
bernhardine,F
bernhardsdotter,F
bernhild,F
bernice,F
bernis,F
bernita,F
berntine,F
berntsdotter,F
berrak,F
berrin,F
berta,F
bertha,F
berthe,F
bertilsdotter,F
bertina,F
bertine,F
bertsdotter,F
bertta,F
beryl,F
beryll,F
besa,F
besan,F
besarta,F
besiana,F
besima,F
besime,F
besire,F
besjana,F
besma,F
besna,F
besne,F
besrat,F
bess,F
bessan,F
besse,F
bessi,F
bessie,F
bessy,F
beste,F
betania,F
betel,F
betelehem,F
betelhem,F
betelihem,F
beth,F
bethan,F
bethany,F
bethel,F
bethina,F
bethlehem,F
bethy,F
beti,F
betiel,F
betina,F
betlehem,F
betol,F
betool,F
betoul,F
betsabe,F
betsy,F
bett,F
bettan,F
bette,F
betti,F
bettie,F
bettina,F
betty,F
betty-ann,F
betul,F
betül,F
betzabe,F
betzy,F
beverley,F
beverly,F
beya,F
beyan,F
beyaz,F
beyda,F
beygom,F
beyhan,F
beyla,F
beyonce,F
beyza,F
beza,F
bezawit,F
bhakti,F
bharathi,F
bharati,F
bhargavi,F
bharti,F
bhavna,F
bhavya,F
bi,F
bia,F
bianca,F
bianka,F
biba,F
bibban,F
bibbi,F
bibbie,F
bibi,F
bibiana,F
bich,F
bích,F
bie,F
biggan,F
bil,F
bilan,F
bilen,F
bilge,F
biljana,F
billie,F
bilyana,F
bim,F
bina,F
binasa,F
bindu,F
binnaz,F
binni,F
binnie,F
bint,F
binta,F
binte,F
binti,F
bintou,F
bintu,F
bipasha,F
bircan,F
birdie,F
birg,F
birg:a,F
birgersdotter,F
birgit,F
birgita,F
birgith,F
birgitha,F
birgithe,F
birgitt,F
birgitta,F
birgitte,F
birgittha,F
birgul,F
birgül,F
birikti,F
birit,F
birka,F
birkitta,F
birkti,F
birna,F
birnur,F
birsel,F
birsen,F
birta,F
birte,F
birthe,F
biruta,F
birute,F
bisan,F
bisera,F
biserka,F
bishaaro,F
bishara,F
bisharo,F
bisma,F
bisrat,F
bissan,F
bisse,F
bita,F
bitania,F
bittan,F
bitte,F
bitten,F
bitti,F
bjanka,F
bjarnesdotter,F
bjondina,F
bjöns,F
björg,F
bjørg,F
björk,F
björndotter,F
björnsdotter,F
björt,F
blaga,F
blagica,F
blanca,F
blanceflor,F
blanche,F
blända,F
blandine,F
blanka,F
blazena,F
blazenka,F
blen,F
blenda,F
bleona,F
blerina,F
blerona,F
blerta,F
blessing,F
blinera,F
bliss,F
blom,F
blomma,F
blondine,F
blossom,F
blue,F
bnar,F
bobbi,F
bochra,F
bodel,F
bodil,F
bodotter,F
bodour,F
boel,F
bogdana,F
bogdanka,F
bogg,F
boglarka,F
boglárka,F
bogumila,F
boguslawa,F
boi,F
boja,F
bojana,F
bok,F
böl,F
bolette,F
bolla,F
bollan,F
bolormaa,F
bona,F
bonita,F
bonja,F
bonni,F
bonnie,F
bonnie-lee,F
boonmee,F
borbala,F
borbála,F
borch,F
böret,F
borghild,F
borgny,F
böris,F
borislava,F
borislavova,F
borisova,F
borisovna,F
borit,F
borjana,F
börjesdotter,F
borka,F
boryana,F
bosa,F
bosdotter,F
boshra,F
bosiljka,F
bossel,F
bössfall,F
bothaina,F
bothilda,F
botilda,F
bouchra,F
boushra,F
bozana,F
bozena,F
bozéna,F
bozenna,F
bozica,F
bozidarka,F
bränd,F
brandy,F
branislava,F
branka,F
brankica,F
breda,F
brenda,F
brenholdt,F
breshna,F
brhana,F
bri,F
briana,F
brianna,F
bricken,F
bride,F
bridget,F
brielle,F
brigida,F
brigita,F
brigitt,F
brigitta,F
brigitte,F
briitta,F
brikena,F
brikenda,F
brikti,F
briquetta,F
brisa,F
brishna,F
brit,F
brita,F
brita-lena,F
brita-stina,F
briten,F
brith,F
britha,F
brith-inger,F
brith-marie,F
brit-marie,F
britney,F
britt,F
britt inger,F
britt louise,F
britt mari,F
britt maria,F
britt marie,F
britta,F
britta maria,F
britta-kajsa,F
britta-karin,F
britta-lena,F
britta-lisa,F
britta-maria,F
brittan,F
brittany,F
britta-stina,F
britt-carin,F
britt-christin,F
britt-christine,F
britte,F
brittel,F
britte-louise,F
britte-marie,F
britten,F
britt-eva,F
britth,F
britt-helen,F
britti,F
brittine,F
brittinger,F
britt-inger,F
britt-ingrid,F
brittis,F
britt-karin,F
britt-kristin,F
brittlis,F
britt-lis,F
britt-liz,F
britt-lois,F
britt-louice,F
britt-louis,F
britt-louise,F
britt-maj,F
britt-margret,F
brittmari,F
britt-mari,F
britt-maria,F
britt-marianne,F
brittmarie,F
britt-marie,F
britt-mary,F
britt-sofi,F
britt-sofie,F
britt-stina,F
britt-viol,F
britty,F
brkti,F
bröndum,F
bronia,F
bronislava,F
bronislawa,F
bronwen,F
bronwyn,F
brooke,F
brorsdotter,F
bruna,F
brunhild,F
brunhilde,F
brunilda,F
brunosdotter,F
brus,F
brygida,F
bryndis,F
bryndís,F
brynhild,F
brynhilda,F
brynhilde,F
brynhildur,F
brynja,F
bsrat,F
bu,F
buaphan,F
buchra,F
bud,F
budoor,F
budour,F
buffy,F
bugge,F
buhar,F
buket,F
bukurie,F
bukurije,F
buna,F
buppha,F
burbuqe,F
burcin,F
burcu,F
busan,F
buse,F
bushra,F
busra,F
büsra,F
bussaba,F
buthaina,F
buthayna,F
butrus,F
butsaba,F
buu,F
byambasuren,F
bygg,F
byul,F
caarina,F
caasha,F
cabdulaahi,F
cäcilia,F
cäcilie,F
cagla,F
cahide,F
caijsa,F
caisa,F
caisha,F
caisy,F
caitlin,F
caitlyn,F
caiza,F
cajs,F
cajsa,F
cajsa-lena,F
cajsalisa,F
cajsa-lisa,F
cajsa-stina,F
cajs-marie,F
cajza,F
caklin,F
calice,F
calina,F
calise,F
calista,F
calla,F
callie,F
callista,F
cally,F
calma,F
cam,F
cama,F
camelia,F
camellia,F
camia,F
camila,F
camilia,F
camilla,F
camille,F
camka,F
canab,F
canan,F
candace,F
candan,F
candela,F
candelaria,F
candice,F
candida,F
candra,F
candy,F
canet,F
cani,F
cansel,F
cansu,F
caoimhe,F
capella,F
caprice,F
cara,F
caren,F
carena,F
carene,F
caréne,F
cari,F
carianne,F
caridad,F
carima,F
carin,F
carina,F
carine,F
carisma,F
carissa,F
carita,F
caritha,F
carla,F
carlene,F
carlie,F
carlina,F
carlota,F
carlotta,F
carlsdotter,F
carly,F
carma,F
carmel,F
carmela,F
carmelina,F
carmelita,F
carmen,F
carmencita,F
carmenza,F
carmina,F
carmita,F
carmo,F
carna,F
carol,F
carola,F
carole,F
carolien,F
caroliina,F
carolin,F
carolina,F
caroline,F
caroliné,F
carolinn,F
carolinne,F
caroll,F
carolyn,F
carolyne,F
carrie,F
carro,F
carrol,F
casandra,F
cassandra,F
cassia,F
cassidy,F
cassie,F
cassiopeia,F
cassiopeja,F
cat,F
cataleya,F
catalina,F
catarina,F
catarine,F
cate,F
caterina,F
caterine,F
catharina,F
catharine,F
cathe,F
catherin,F
catherina,F
catherine,F
cathérine,F
cathinka,F
cathleen,F
cathlin,F
cathrin,F
cathrina,F
cathrine,F
cathryn,F
cathy,F
catia,F
cátia,F
catinka,F
catja,F
catlin,F
catrin,F
catrina,F
catrine,F
catriona,F
cattarina,F
catti,F
cattis,F
cattleya,F
caty,F
catya,F
cayenne,F
cayla,F
caylie,F
cazandra,F
cazima,F
cazzandra,F
ceca,F
cecelia,F
cecila,F
cecile,F
cécile,F
cecilia,F
cécilia,F
cecilie,F
cecillia,F
cecily,F
cecylia,F
cedra,F
celena,F
celene,F
celeste,F
céleste,F
celestina,F
celestine,F
célestine,F
celi,F
celia,F
célia,F
celice,F
celicia,F
celie,F
célie,F
celile,F
celin,F
celina,F
celinda,F
celine,F
celiné,F
céline,F
celinn,F
celinne,F
celise,F
celmira,F
cemile,F
cemona,F
cemre,F
cena,F
cenita,F
cennet,F
centa,F
cera,F
ceren,F
ceres,F
cerina,F
cerine,F
ceris,F
cerise,F
cesarea,F
cesilia,F
ceyda,F
ceylan,F
ceylin,F
chadaporn,F
chadia,F
chafika,F
chahd,F
chaima,F
chaimaa,F
chaimae,F
chaja,F
chalida,F
chalisa,F
chalita,F
chalotte,F
chaltu,F
cham,F
chama,F
chamaiporn,F
chaman,F
chamila,F
chamilla,F
chamiram,F
chamiran,F
champa,F
champika,F
chams,F
chana,F
chanakan,F
chanakarn,F
chanapa,F
chanar,F
chance,F
chanchira,F
chanda,F
chandana,F
chandani,F
chandima,F
chandini,F
chandni,F
chandrani,F
chandrika,F
chanel,F
chanell,F
chanelle,F
chanett,F
chanette,F
chanida,F
chanita,F
channa,F
channah,F
channel,F
chanpen,F
chanphen,F
chantal,F
chantale,F
chantalle,F
chantana,F
chantel,F
chantell,F
chantelle,F
chanthana,F
chanthima,F
chantima,F
chanya,F
charifa,F
charikleia,F
chariklia,F
charin,F
charina,F
charis,F
charisma,F
charissa,F
charita,F
charito,F
charity,F
charlee,F
charleen,F
charleene,F
charlene,F
charléne,F
charlesdotter,F
charlin,F
charlina,F
charline,F
charlize,F
charloth,F
charlothe,F
charlott,F
charlotta,F
charlotte,F
charlotté,F
charmaine,F
charolina,F
charoline,F
charu,F
charuwan,F
chasmin,F
chasmine,F
chatarina,F
chatarine,F
chaterine,F
chatharina,F
chathrine,F
chatrin,F
chatrina,F
chatrine,F
chau,F
chava,F
chawan,F
chaweewan,F
chaya,F
chayada,F
chayenne,F
chayma,F
chaza,F
cheima,F
chelsea,F
chelsey,F
chelsie,F
chelsy,F
cheman,F
chen,F
chenxi,F
cher,F
cheri,F
cherie,F
cherié,F
chérie,F
cherifa,F
cherin,F
cherine,F
chero,F
cherri,F
cherrie,F
cherry,F
cherryl,F
cherstin,F
cheryl,F
chevelle,F
chevrolina,F
cheyenne,F
chiamaka,F
chiao,F
chiara,F
chidera,F
chidinma,F
chie,F
chieko,F
chihiro,F
chika,F
chikako,F
chili,F
chimamanda,F
chiman,F
chimen,F
chin,F
china,F
chinar,F
chinda,F
chinelo,F
chinenye,F
ching,F
chintana,F
chinwe,F
chinyere,F
chioma,F
chipo,F
chiquita,F
chira,F
chiraz,F
chirin,F
chitra,F
chleo,F
chloe,F
chloé,F
chloë,F
chmouni,F
chnar,F
cho,F
choi,F
chona,F
chonlada,F
chonthicha,F
chonticha,F
choo,F
choon,F
chotika,F
chra,F
chrakhan,F
chrestin,F
chrisanthi,F
chrisoula,F
chriss,F
chrissi,F
chrissie,F
chrissoula,F
christa,F
christabel,F
christabelle,F
christel,F
christell,F
christella,F
christelle,F
christerdotter,F
christersdotter,F
christhina,F
christi,F
christiana,F
christiane,F
christianne,F
christiansdotter,F
christie,F
christiina,F
christin,F
christina,F
chris-tina,F
christine,F
christiné,F
christl,F
christy,F
chro,F
chrysanthi,F
chrysi,F
chrysoula,F
chrystal,F
chu,F
chui,F
chukrie,F
chunhua,F
chunmei,F
chunyan,F
chuthamat,F
chutikan,F
chutikarn,F
chutima,F
chutimon,F
ci,F
cia,F
ciara,F
cibelle,F
cicci,F
cicek,F
cici,F
cicilia,F
cicilie,F
cicki,F
cickie,F
cidra,F
cielo,F
cigdem,F
çigdem,F
cikoria,F
cilene,F
cilia,F
cilin,F
cilla,F
cim,F
cimone,F
cina,F
cinderella,F
cindi,F
cindie,F
cindra,F
cindy,F
cing,F
cinna,F
cinnamon,F
cinthia,F
cinthya,F
cintia,F
cintra,F
cintya,F
cinzia,F
cira,F
cirene,F
ciri,F
cisela,F
cissa,F
cissela,F
cissi,F
cissie,F
cissy,F
claery,F
claesdotter,F
clair,F
claire,F
clairy,F
clara,F
clare,F
cläre,F
claribel,F
clarice,F
clarie,F
claris,F
clarisa,F
clarise,F
clarissa,F
clarisse,F
clarita,F
clarry,F
clary,F
clary-ann,F
clasdotter,F
clasine,F
claudette,F
claudia,F
cláudia,F
claudie,F
claudina,F
claudine,F
clea,F
cleide,F
clelia,F
clemence,F
clémence,F
clemencia,F
clementina,F
clementine,F
clémentine,F
cleo,F
cléo,F
cleofe,F
cleopatra,F
clery,F
cloe,F
cloé,F
clorinda,F
clothilde,F
clotilde,F
cloudia,F
cobra,F
coco,F
codruta,F
coleen,F
colette,F
coline,F
colleen,F
collette,F
colombine,F
comfort,F
conceicao,F
concepcion,F
concetta,F
conchita,F
concordia,F
conni,F
connie,F
connysdotter,F
consolacion,F
constance,F
constancia,F
constanse,F
constansia,F
constanta,F
constantia,F
constantina,F
constanza,F
constanze,F
consuelo,F
cookie,F
cora,F
coral,F
coralia,F
coralie,F
coraline,F
corall,F
corazon,F
cordelia,F
cordula,F
cordyla,F
corina,F
corine,F
corinna,F
corinne,F
cornelia,F
cornelie,F
coromoto,F
corona,F
corrina,F
corrine,F
cortina,F
cosette,F
cosima,F
cosmina,F
coumba,F
courtney,F
crestin,F
crina,F
cris,F
crista,F
cristal,F
cristel,F
cristelle,F
cristiana,F
cristiane,F
cristin,F
cristina,F
cristine,F
cristy,F
crystal,F
csenge,F
csilla,F
cu,F
cuc,F
cui,F
curtsdotter,F
cveta,F
cvetanka,F
cvija,F
cvijeta,F
cynthia,F
cyntia,F
cyrena,F
cyrene,F
cyréne,F
cyrenia,F
cyrine,F
czeslawa,F
d´arc,F
da,F
daad,F
dace,F
daed,F
daeng,F
dafina,F
dafne,F
dafni,F
daga,F
dagbjört,F
daghild,F
dagmar,F
dagmara,F
dagmawit,F
dagnija,F
dagny,F
dagrun,F
dagsdotter,F
dahab,F
dahabo,F
dahlia,F
dahran,F
daiana,F
daiga,F
daily,F
daina,F
dainora,F
daisy,F
daiva,F
dajana,F
dajsy,F
dakota,F
dala,F
dalaa,F
dalal,F
dalala,F
dalgaard,F
dali,F
dalia,F
daliah,F
daliborka,F
dalida,F
dalija,F
dalila,F
dalin,F
dalina,F
dalinda,F
daliya,F
dalja,F
dalma,F
daly,F
dalya,F
dam,F
damaris,F
damayanthi,F
damiana,F
damira,F
damita,F
damla,F
dammika,F
dana,F
danae,F
danah,F
danai,F
danailova,F
danait,F
danayt,F
dandan,F
danea,F
danella,F
danguole,F
dania,F
daniah,F
danica,F
daniela,F
daniéla,F
daniéle,F
danièle,F
daniella,F
danielle,F
daniélle,F
daniëlle,F
danielova,F
danielsdotter,F
danijela,F
danijella,F
danina,F
danira,F
danisa,F
danita,F
danitza,F
daniya,F
daniza,F
danja,F
danka,F
dankha,F
danna,F
danniela,F
danniella,F
dannielle,F
dansar,F
dansdotter,F
danuta,F
danute,F
danya,F
dao,F
daorsa,F
daphne,F
daphné,F
daranee,F
dararat,F
darawan,F
darcy,F
dareen,F
daria,F
dariana,F
darija,F
darina,F
darine,F
darinka,F
darit,F
darja,F
darlene,F
darling,F
darly,F
darunee,F
darweesh,F
dary,F
darya,F
daryna,F
das,F
dasha,F
dashne,F
dashurije,F
dath,F
davida,F
davidsdotter,F
davina,F
davorka,F
dawlat,F
dawn,F
day,F
dayana,F
dayani,F
dayanna,F
daysi,F
daysy,F
de,F
dea,F
deana,F
deanna,F
deanne,F
debbie,F
debby,F
debora,F
débora,F
deborah,F
déborah,F
debra,F
december,F
decibel,F
decibell,F
decibelle,F
decideria,F
decire,F
deciré,F
deciree,F
decireé,F
decirée,F
dee,F
deeba,F
deedee,F
deega,F
deema,F
deeman,F
deena,F
deepa,F
deepali,F
deepani,F
deepika,F
deepthi,F
deepti,F
deeqa,F
deeqo,F
defne,F
dega,F
degan,F
dehab,F
deimante,F
deirdre,F
deise,F
deisy,F
dejana,F
dejin,F
deka,F
deko,F
del,F
delal,F
delali,F
delan,F
delara,F
delaram,F
delfina,F
delgermaa,F
delia,F
delice,F
delicia,F
delila,F
delilah,F
delin,F
delina,F
delinda,F
deline,F
delise,F
della,F
delly,F
delmy,F
delnaz,F
delnia,F
delores,F
delphine,F
delsa,F
delta,F
delvin,F
delvina,F
dema,F
deman,F
demet,F
demi,F
demiana,F
demila,F
dena,F
denait,F
denana,F
dene,F
denice,F
denicé,F
dénice,F
denisa,F
denise,F
denisé,F
dénise,F
denisse,F
denita,F
denitsa,F
deniza,F
denize,F
dennisdotter,F
dennise,F
deolinda,F
deqa,F
deqo,F
deria,F
derin,F
derja,F
dervisa,F
derya,F
desa,F
desanka,F
desdemona,F
desederia,F
deseré,F
deserée,F
desi,F
desideria,F
desire,F
desiré,F
desiree,F
desireé,F
desirée,F
desiréé,F
désiree,F
désireé,F
désirée,F
desislava,F
despina,F
despoina,F
dessie,F
dessire,F
dessiré,F
dessy,F
desteny,F
destina,F
destiny,F
deva,F
devi,F
devika,F
devina,F
devine,F
devla,F
devleta,F
devora,F
dewa,F
dewi,F
deyana,F
deyanira,F
dhamin,F
dhammika,F
dhanya,F
dharma,F
dhekra,F
dhifaf,F
dhikra,F
dhoha,F
dhuha,F
dhurata,F
dia,F
diala,F
diamanda,F
diamanta,F
diamond,F
diana,F
dianah,F
diandra,F
diane,F
dianna,F
dianne,F
diba,F
dibora,F
dicksdotter,F
dicle,F
dida,F
didan,F
diddi,F
didem,F
didi,F
dido,F
diellza,F
diem,F
diep,F
dietlinde,F
dieu,F
digna,F
dijana,F
dika,F
dikra,F
diksha,F
dikte,F
dila,F
dilafruz,F
dilan,F
dilana,F
dilani,F
dilara,F
dilay,F
dilba,F
dilbar,F
